,data
1263,-0.53
1264,-1.38
1265,20.8
1266,2.9
1267,14.46
1268,4.08
1269,-2.17
1270,-6.91
1271,0.68
1272,-1.37
1273,10.41
1274,6.16
1275,0.85
1276,15.4
1277,12.89
1278,6.31
1279,6.25
1280,21.04
1281,-1.81
1282,-18.33
1283,-0.5
1284,-5.64
1285,12.46
1286,-4.79
1287,-17.59
1288,-3.84
1289,-2.0
1290,-9.27
1291,11.04
1292,0.68
1293,-28.17
1294,22.78
1295,-5.3
1296,27.53
1297,10.89
1298,-6.99
1299,-2.77
1300,11.51
1301,-6.38
1302,1.37
1303,-3.54
1304,-2.33
1305,-11.02
1306,-3.28
1307,5.2
1308,-5.76
1309,9.76
1310,-8.14
1311,38.9
1312,0.24
1313,-5.45
1314,1.56
1315,-3.16
1316,3.15
1317,-1.68
1318,-0.64
1319,-21.56
1320,0.0
1321,2.24
1322,5.68
1323,5.06
1324,3.91
1325,8.44
1326,-3.64
1327,-1.39
1328,-2.46
1329,3.69
1330,-6.68
1331,0.8
1332,6.67
1333,10.16
1334,-1.83
1335,-4.91
1336,-10.02
1337,-4.48
1338,-6.9
1339,20.9
1340,-5.31
1341,-10.91
1342,-3.92
1343,6.59
1344,0.56
1345,6.15
1346,-0.18
1347,-1.81
1348,13.13
1349,1.56
1350,0.71
1351,19.58
1352,10.81
1353,9.4
1354,0.61
1355,5.34
1356,-6.45
1357,-5.5
1358,3.87
1359,1.44
1360,-5.04
1361,-8.24
1362,6.28
1363,4.55
1364,-1.17
1365,0.8
1366,-1.2
1367,1.8
1368,15.47
1369,-1.02
1370,0.05
1371,-1.36
1372,-1.14
1373,2.74
1374,11.59
1375,6.83
1376,9.08
1377,-8.6
1378,4.79
1379,0.32
1380,6.95
1381,-4.21
1382,2.38
1383,6.75
1384,10.02
1385,18.52
1386,1.05
1387,18.87
1388,-4.89
1389,-4.58
1390,5.4
1391,2.45
1392,-6.11
1393,-6.35
1394,-10.89
1395,-10.52
1396,0.41
1397,1.51
1398,-2.74
1399,3.94
1400,3.0
1401,-5.4
1402,-8.71
1403,-4.24
1404,2.52
1405,4.77
1406,-3.18
1407,-3.25
1408,1.57
1409,-2.84
1410,1.27
1411,0.66
1412,-4.23
1413,13.94
1414,1.39
1415,6.09
1416,-7.0
1417,-3.21
1418,-1.76
1419,-4.92
1420,5.34
1421,-9.2
1422,0.05
1423,3.97
1424,-0.4
1425,4.56
1426,-0.59
1427,-6.6
1428,-1.94
1429,3.83
1430,4.41
1431,4.45
1432,7.17
1433,-5.7
1434,4.31
1435,4.34
1436,-1.53
1437,-4.15
1438,12.04
1439,1.66
1440,-8.62
1441,5.82
1442,8.08
1443,5.74
1444,1.42
1445,9.23
1446,13.32
1447,7.49
1448,0.53
1449,-5.95
1450,2.64
1451,-1.83
1452,-6.83
1453,6.68
1454,13.55
1455,4.97
1456,-0.4
1457,-0.64
1458,-2.26
1459,4.29
1460,-4.92
1461,1.13
1462,-7.62
1463,1.79
1464,1.58
1465,2.35
1466,0.6
1467,-1.13
1468,-3.38
1469,3.5
1470,2.47
1471,8.58
1472,4.89
1473,-6.68
1474,-2.88
1475,-2.31
1476,-4.08
1477,-0.94
1478,-7.18
1479,-1.82
1480,3.15
1481,0.89
1482,-3.78
1483,10.26
1484,1.34
1485,10.09
1486,1.49
1487,7.61
1488,0.47
1489,8.12
1490,-2.63
1491,8.36
1492,-1.21
1493,10.93
1494,6.97
1495,5.22
1496,1.06
1497,9.85
1498,-1.8
1499,1.3
1500,1.64
1501,-2.59
1502,5.76
1503,-3.38
1504,-5.71
1505,8.18
1506,-0.01
1507,-1.21
1508,6.6
1509,2.45
1510,-2.35
1511,-8.0
1512,-0.5
1513,0.32
1514,2.31
1515,-5.33
1516,-0.91
1517,-1.18
1518,0.49
1519,1.76
1520,-2.58
1521,3.8
1522,0.4
1523,1.59
1524,-0.96
1525,2.13
1526,-5.82
1527,-7.34
1528,-9.12
1529,-3.32
1530,-6.54
1531,15.3
1532,-1.37
1533,4.85
1534,2.38
1535,3.02
1536,5.59
1537,3.05
1538,-1.84
1539,5.01
1540,2.23
1541,2.43
1542,3.08
1543,8.73
1544,0.83
1545,-1.54
1546,-4.69
1547,0.61
1548,-4.69
1549,0.36
1550,-1.9
1551,-0.89
1552,0.17
1553,0.84
1554,6.77
1555,0.29
1556,0.05
1557,-3.21
1558,-4.24
1559,-1.98
1560,0.22
1561,2.84
1562,8.07
1563,-3.99
1564,2.92
1565,5.77
1566,2.97
1567,10.0
1568,2.49
1569,1.86
1570,3.93
1571,10.38
1572,-5.68
1573,4.69
1574,7.17
1575,-5.64
1576,0.26
1577,10.78
1578,-5.88
1579,-1.88
1580,-1.8
1581,1.27
1582,-7.01
1583,-6.33
1584,-2.87
1585,5.37
1586,6.7
1587,-6.42
1588,-2.6
1589,5.37
1590,-1.4
1591,12.85
1592,-2.08
1593,-0.17
1594,4.38
1595,3.32
1596,-1.76
1597,-2.44
1598,1.93
1599,7.17
1600,2.41
1601,-1.36
1602,5.36
1603,2.08
1604,5.7
1605,5.55
1606,3.94
1607,4.27
1608,-1.32
1609,1.88
1610,3.17
1611,9.81
1612,6.37
1613,2.89
1614,-1.7
1615,10.28
1616,2.66
1617,-0.37
1618,6.24
1619,5.0
1620,-11.06
1621,4.14
1622,1.14
1623,3.8
1624,8.15
1625,1.83
1626,9.56
1627,17.19
1628,6.54
1629,-0.53
1630,6.35
1631,-11.7
1632,-1.11
1633,-0.39
1634,-11.3
1635,-4.55
1636,-3.66
1637,2.16
1638,0.92
1639,18.82
1640,3.28
1641,5.19
1642,3.01
1643,1.28
1644,10.49
1645,14.46
1646,-2.15
1647,7.03
1648,-0.19
1649,1.3
1650,9.58
1651,3.11
1652,-5.05
1653,-1.93
1654,9.83
1655,8.89
1656,-0.54
1657,-3.75
1658,1.27
1659,8.77
1660,-1.32
1661,5.88
1662,12.84
1663,-0.74
1664,-9.06
1665,-2.39
1666,-1.18
1667,-0.84
1668,-13.5
1669,-9.5
1670,4.17
1671,-0.08
1672,3.43
1673,0.03
1674,-9.5
1675,1.66
1676,4.68
1677,1.62
1678,-16.55
1679,-5.86
1680,-2.69
1681,2.67
1682,2.52
1683,9.14
1684,-6.0
1685,-3.42
1686,3.24
1687,9.17
1688,4.36
1689,5.24
1690,1.69
1691,-3.22
1692,-4.04
1693,-4.53
1694,-4.6
1695,-4.49
1696,-11.61
1697,-7.38
1698,13.32
1699,15.24
1700,6.41
1701,-1.08
1702,-1.44
1703,-1.04
1704,-2.49
1705,-2.57
1706,3.47
1707,-4.07
1708,-2.5
1709,3.4
1710,-0.82
1711,6.73
1712,4.08
1713,-2.55
1714,-4.65
1715,-3.23
1716,6.44
1717,12.82
1718,2.68
1719,7.17
1720,11.97
1721,-5.94
1722,5.65
1723,16.34
1724,1.66
1725,-6.94
1726,-7.88
1727,-8.35
1728,-2.67
1729,-0.54
1730,-8.24
1731,-11.31
1732,13.82
1733,-4.32
1734,-7.17
1735,25.28
1736,6.29
1737,6.15
1738,7.13
1739,12.53
1740,7.98
1741,-4.34
1742,-5.94
1743,-3.03
1744,-5.02
1745,1.56
1746,3.13
1747,16.04
1748,3.08
1749,6.2
1750,2.21
1751,0.15
1752,10.52
1753,-1.95
1754,-5.68
1755,0.62
1756,-5.22
1757,-0.07
1758,10.61
1759,3.82
1760,-2.28
1761,4.65
1762,1.85
1763,-1.66
1764,0.14
1765,-2.39
1766,-4.71
1767,-3.85
1768,-5.96
1769,3.87
1770,1.61
1771,-2.67
1772,0.78
1773,10.48
1774,5.39
1775,7.23
1776,-3.29
1777,7.85
1778,2.22
1779,2.99
1780,-16.62
1781,-0.63
1782,2.16
1783,15.87
1784,1.19
1785,9.78
1786,-2.39
1787,2.89
1788,9.2
1789,2.66
1790,8.89
1791,7.9
1792,-12.23
1793,6.32
1794,26.55
1795,33.6
1796,3.25
1797,-26.29
1798,-2.12
1799,7.92
1800,0.53
1801,6.89
1802,3.91
1803,9.97
1804,-3.17
1805,11.3
1806,-9.16
1807,-1.77
1808,-5.98
1809,7.36
1810,-2.43
1811,-3.04
1812,-11.94
1813,2.97
1814,-8.14
1815,-16.65
1816,11.39
1817,-3.2
1818,-10.92
1819,-4.14
1820,-10.42
1821,-8.87
1822,7.26
1823,-6.94
1824,-8.4
1825,-1.91
1826,13.88
1827,2.43
1828,11.9
1829,3.02
1830,2.4
1831,38.26
1832,-0.1
1833,5.65
1834,9.5
1835,18.9
1836,-3.02
1837,-0.69
1838,-4.66
1839,-4.26
1840,-9.98
1841,4.3
1842,-5.39
1843,3.06
1844,2.78
1845,4.19
1846,-3.68
1847,-2.88
1848,-6.96
1849,-10.23
1850,7.27
1851,-4.02
1852,-9.4
1853,-6.81
1854,-4.37
1855,5.47
1856,-0.15
1857,9.05
1858,-2.71
1859,-3.37
1860,-5.6
1861,11.22
1862,8.35
1863,-7.61
1864,-6.55
1865,4.37
1866,-1.42
1867,31.78
1868,-2.57
1869,0.53
1870,2.94
1871,7.66
1872,-1.62
1873,-7.21
1874,8.28
1875,-0.22
1876,7.95
1877,-0.29
1878,3.36
1879,12.06
1880,11.92
1881,15.22
1882,9.26
1883,-0.9
1884,-0.62
1885,18.2
1886,0.81
1887,3.49
1888,-32.7
1889,3.58
1890,1.31
1891,-1.65
1892,5.34
1893,8.61
1894,0.23
1895,6.05
1896,3.37
1897,-1.08
1898,-3.27
1899,-4.22
1900,-1.45
1901,-6.03
1902,7.31
1903,3.2
1904,3.43
1905,-0.67
1906,-1.1
1907,-4.02
1908,-7.28
1909,0.25
1910,8.51
1911,0.48
1912,-0.83
1913,1.78
1914,-4.01
1915,-5.36
1916,0.16
