,data
1754,931.0
1755,929.0
1756,926.0
1757,920.0
1758,915.0
1759,909.0
1760,905.0
1761,902.0
1762,898.0
1763,895.0
1764,845.0
1765,844.0
1766,837.0
1767,833.0
1768,829.0
1769,826.0
1770,819.0
1771,814.0
1772,809.0
1773,806.0
1774,804.0
1775,803.0
1776,856.0
1777,851.0
1778,849.0
1779,845.0
1780,843.0
1781,838.0
1782,831.0
1783,827.0
1784,823.0
1785,821.0
1786,817.0
1787,811.0
1788,971.0
1789,967.0
1790,960.0
1791,954.0
1792,950.0
1793,946.0
1794,939.0
1795,938.0
1796,935.0
1797,932.0
1798,919.0
1799,909.0
1800,892.0
1801,888.0
1802,886.0
1803,879.0
1804,873.0
1805,868.0
1806,865.0
1807,861.0
1808,852.0
1809,848.0
1810,841.0
1811,833.0
1812,930.0
1813,923.0
1814,917.0
1815,913.0
1816,909.0
1817,887.0
1818,877.0
1819,876.0
1820,873.0
1821,869.0
1822,864.0
1823,862.0
1824,1043.0
1825,1038.0
1826,1034.0
1827,1025.0
1828,1019.0
1829,1012.0
1830,1009.0
1831,1000.0
1832,989.0
1833,980.0
1834,971.0
1835,963.0
1836,965.0
1837,956.0
1838,946.0
1839,937.0
1840,931.0
1841,918.0
1842,911.0
1843,904.0
1844,895.0
1845,889.0
1846,880.0
1847,872.0
1848,795.0
1849,787.0
1850,781.0
1851,778.0
1852,772.0
1853,770.0
1854,766.0
1855,762.0
1856,760.0
1857,757.0
1858,754.0
1859,749.0
1860,806.0
1861,803.0
