,data
1397,-5.3032
1398,3.8199
1399,6.4168
1400,-2.8329
1401,-4.5704
1402,-9.2414
1403,-7.5606
1404,4.4994
1405,5.0778
1406,-2.7181
1407,-0.8396
1408,2.9253
1409,-5.538
1410,-0.9413
1411,-2.3979
1412,-7.1818
1413,5.7981
1414,4.5767
1415,8.6021
1416,-4.0547
1417,-6.0986
1418,-0.7749
1419,-1.0051
1420,2.8503
1421,-10.0025
1422,0.2106
1423,3.0048
1424,-7.7274
1425,6.7225
1426,-4.0296
1427,-4.3753
1428,-2.927
1429,4.3897
1430,1.0747
1431,4.3185
1432,6.38
1433,-2.3782
1434,5.5413
1435,8.7472
1436,2.9157
1437,-1.4653
1438,4.609
1439,1.6285
1440,-6.444
1441,0.0062
1442,6.1135
1443,5.7278
1444,2.6886
1445,-0.4607
1446,9.2866
1447,7.073
1448,1.5242
1449,-1.7393
1450,2.9261
1451,-2.2861
1452,-3.793
1453,5.4898
1454,3.987
1455,2.9696
1456,-2.3608
1457,0.5523
1458,2.3828
1459,1.9911
1460,-1.3875
1461,1.1642
1462,-4.9794
1463,2.183
1464,2.7913
1465,1.6639
1466,-0.0778
1467,-1.9884
1468,-2.1877
1469,6.4288
1470,1.5723
1471,5.2266
1472,2.0745
1473,-3.0924
1474,-2.9772
1475,0.3569
1476,-2.9165
1477,-0.5095
1478,-3.912
1479,2.2534
1480,0.5623
1481,2.4543
1482,-1.3268
1483,5.5556
1484,2.4625
1485,2.5916
1486,-1.1799
1487,1.9315
1488,1.43
1489,3.4619
1490,-1.207
1491,4.3988
1492,-3.5355
1493,9.1884
1494,8.0307
1495,-2.7848
1496,3.0231
1497,-0.2127
1498,1.1474
1499,-1.1692
1500,1.7966
1501,-4.0803
1502,1.8751
1503,-2.3838
1504,-3.2371
1505,5.803
1506,0.5045
1507,-2.209
1508,2.5423
1509,-0.7149
1510,1.1082
1511,-4.3293
1512,0.3686
1513,1.4453
1514,-1.6791
1515,-4.3388
1516,-0.6439
1517,0.1353
1518,2.8337
1519,2.5427
1520,-5.8985
1521,3.0395
1522,2.8474
1523,3.8049
1524,-0.6784
1525,-1.365
1526,-4.3094
1527,-6.6267
1528,-6.4641
1529,0.9775
1530,-5.7754
1531,13.2309
1532,1.2301
1533,7.9294
1534,3.8193
1535,4.0847
1536,0.3517
1537,1.8965
1538,3.4709
1539,2.1474
1540,9.9362
1541,5.0195
1542,5.9426
1543,4.2534
1544,4.2043
1545,4.1502
1546,1.5208
1547,0.3662
1548,0.197
1549,4.8353
1550,-3.244
1551,-4.8556
1552,3.5334
1553,6.3645
1554,1.2917
1555,-3.4035
1556,1.0297
1557,-3.5638
1558,2.06
1559,2.4917
1560,4.0739
1561,-3.2287
1562,0.3304
1563,-7.6164
1564,-7.2059
1565,6.3874
1566,4.5424
1567,10.1045
1568,8.5347
1569,10.6887
1570,1.9862
1571,1.8288
1572,-7.7008
1573,-0.3021
1574,2.8217
1575,-5.2836
1576,-1.1135
1577,3.9113
1578,-4.4402
1579,-2.8607
1580,1.3764
1581,-0.7597
1582,-8.2503
1583,-12.2139
1584,-13.1483
1585,6.3757
1586,7.8675
1587,-8.5531
1588,-5.0644
1589,15.3332
1590,-2.723
1591,8.8158
1592,-4.1484
1593,-0.3416
1594,2.5799
1595,1.7585
1596,0.5904
1597,-2.4195
1598,4.5299
1599,-4.3779
1600,2.5315
1601,-4.0937
1602,-1.8514
1603,-2.247
1604,1.6598
1605,2.2907
1606,-1.8549
1607,1.7815
1608,0.5148
1609,0.8981
1610,-1.9349
1611,3.1808
1612,-0.9328
1613,-1.1717
1614,1.4815
1615,7.3551
1616,2.8555
1617,1.8943
1618,0.4154
1619,0.9355
1620,-9.8611
1621,4.023
1622,7.2081
1623,5.3094
1624,4.7408
1625,0.9018
1626,3.5617
1627,4.1292
1628,5.8586
1629,-0.8387
1630,2.4493
1631,-8.606
1632,0.731
1633,-2.9112
1634,-12.9733
1635,-2.1564
1636,-5.2072
1637,8.1051
1638,5.1382
1639,18.1402
1640,3.5301
1641,6.4382
1642,2.8305
1643,-0.29
1644,9.3293
1645,7.2629
1646,-0.5893
1647,5.1843
1648,-1.0172
1649,1.74
1650,11.8235
1651,-3.5775
1652,-7.1462
1653,-0.8447
1654,18.2249
1655,10.6817
1656,-1.0932
1657,-8.7206
1658,1.7724
1659,6.9264
1660,-0.4856
1661,9.762
1662,0.7126
1663,-2.6498
1664,-10.964
1665,3.3815
1666,1.1928
1667,-1.7126
1668,-12.5716
1669,-10.8166
1670,7.4414
1671,1.1964
1672,11.0943
1673,-3.9863
1674,-6.4315
1675,-7.1558
1676,2.5168
1677,-6.2755
1678,-22.3676
1679,-10.6846
1680,-11.0009
1681,6.743
1682,9.5062
1683,18.9019
1684,-5.042
1685,0.6247
1686,8.0446
1687,9.3387
1688,4.7102
1689,6.5284
1690,1.4352
1691,-4.1339
1692,1.0363
1693,-6.4995
1694,4.003
1695,1.6698
1696,-6.2249
1697,-2.6451
1698,13.2241
1699,7.9032
1700,6.2817
1701,1.5994
1702,-0.796
1703,-3.0196
1704,-4.3754
1705,-4.989
1706,-0.9468
1707,-3.8995
1708,-4.1822
1709,4.7536
1710,-1.0889
1711,-11.1579
1712,-14.0078
1713,-5.7818
1714,-14.4684
1715,-12.0944
1716,-6.8786
1717,22.2682
1718,-2.8455
1719,11.9624
1720,-3.8036
1721,-24.0649
1722,-1.824
1723,8.6118
1724,-0.3378
1725,0.0487
1726,-7.5882
1727,-6.1432
1728,-4.3579
1729,-7.5336
1730,-9.0936
1731,-12.5203
1732,17.0992
1733,-5.1694
1734,-7.129
1735,26.8934
1736,11.4853
1737,7.4483
1738,6.1034
1739,11.3239
1740,10.5108
1741,-3.7481
1742,-5.0404
1743,-3.1665
1744,2.2931
1745,0.5958
1746,-2.2609
1747,14.2468
1748,8.4832
1749,0.6922
1750,-1.3261
1751,-0.356
1752,2.5656
1753,-1.2163
1754,-4.8422
1755,3.4071
1756,-2.7877
1757,2.7949
1758,10.4251
1759,-0.9544
1760,-1.8804
1761,0.0204
1762,1.1171
1763,0.3169
1764,7.5884
1765,-1.1545
1766,0.1718
1767,1.0756
1768,-4.9928
1769,8.5023
1770,2.9338
1771,-4.9281
1772,1.7486
1773,6.113
1774,9.7249
1775,6.9829
1776,-1.5944
1777,7.7807
1778,9.4045
1779,-1.0493
1780,-24.8412
1781,11.7083
1782,2.9303
1783,9.3598
1784,-2.8514
1785,12.4851
1786,0.9476
1787,-2.0361
1788,7.3576
1789,1.9562
1790,8.9043
1791,0.5694
1792,-8.8776
1793,10.8778
1794,8.4502
1795,7.155
1796,-1.7456
1797,-19.3394
